,0,1,2,3,4,5
0,2021.03.29,알톤스포츠,123750,0,"5,290","5,500"
1,2021.03.26,현대제철,004020,"53,000","46,400","53,700"
2,2021.03.23,코스메카코리아,241710,"18,000","15,300","17,900"
3,2021.03.18,세아베스틸,001430,"20,800","16,600","31,700"
4,2021.03.16,연우,115960,"33,000","24,850","28,300"
5,2021.03.12,금강공업,014280,0,"4,950","8,370"
6,2021.03.11,바이오니아,064550,0,"16,350","21,550"
7,2021.03.10,에스코넥,096630,0,"2,055","2,150"
8,2021.03.09,코스맥스엔비티,222040,0,"7,920","11,900"
9,2021.03.04,효성첨단소재,298050,"430,000","326,000","440,500"
10,2021.03.04,한화손해보험,000370,"5,600","3,890","4,875"
11,2021.03.03,코스맥스,192820,"140,000","113,000","131,000"
12,2021.03.03,롯데칠성,005300,"170,000","122,000","145,000"
13,2021.03.02,신세계,004170,"320,000","277,500","285,500"
14,2021.02.26,무림P&P,009580,"7,000","5,780","5,880"
15,2021.02.24,이마트,139480,"210,000","172,000","160,000"
16,2021.02.23,아나패스,123860,0,"27,700","24,200"
17,2021.02.22,인터로조,119610,0,"21,200","27,400"
18,2021.02.22,노루홀딩스,000320,"16,000","11,950","14,700"
19,2021.02.22,메리츠화재,000060,"20,000","15,700","20,400"
20,2021.02.19,이마트,139480,"250,000","183,000","160,000"
21,2021.02.18,신세계,004170,"320,000","264,000","285,500"
22,2021.02.15,위메이드,112040,"78,000","44,500","56,600"
23,2021.02.10,BGF리테일,282330,"190,000","170,500","179,500"
24,2021.02.10,BGF리테일,282330,"200,000","170,500","179,500"
25,2021.02.10,BGF리테일,282330,"200,000","170,500","179,500"
26,2021.02.09,에이스토리,241840,0,"41,850","33,200"
27,2021.02.09,GS리테일,007070,"50,000","36,150","38,650"
28,2021.02.08,대교,019680,"5,000","3,875","5,290"
29,2021.02.05,현대백화점,069960,"100,000","81,800","87,400"
30,2021.02.05,이엠텍,091120,0,"14,600","19,100"
31,2021.02.05,아모레퍼시픽,090430,"270,000","227,000","252,000"
32,2021.02.03,세아베스틸,001430,"15,000","13,450","31,700"
33,2021.02.01,현대건설,000720,"54,000","43,500","58,300"
34,2021.02.01,LG전자,066570,"220,000","158,000","163,500"
35,2021.02.01,대우건설,047040,"8,500","6,460","7,950"
36,2021.01.29,현대제철,004020,"57,000","38,800","53,700"
37,2021.01.25,레이,228670,"69,000","58,000","30,200"
38,2021.01.25,현대건설,000720,"54,000","45,000","58,300"
39,2021.01.25,알에프텍,061040,0,"10,100","8,440"
40,2021.01.25,현대건설,000720,"64,000","45,000","58,300"
41,2021.01.22,아모레퍼시픽,090430,0,"238,000","252,000"
42,2021.01.21,세아베스틸,001430,"14,500","12,450","31,700"
43,2021.01.20,브이원텍,251630,0,"11,750","10,750"
44,2021.01.19,LG상사,001120,"32,000","27,900","31,200"
45,2021.01.19,기아차,000270,"93,000","83,400","89,600"
46,2021.01.14,현대일렉트릭,267260,"22,000","18,650","20,600"
47,2021.01.14,브이원텍,251630,0,"11,350","10,750"
48,2021.01.11,롯데칠성,005300,"135,000","112,500","145,000"
49,2021.01.08,현대백화점,069960,"95,000","79,000","87,400"
50,2021.01.07,현대백화점,069960,"100,000","74,700","87,400"
51,2021.01.06,이마트,139480,"210,000","155,000","160,000"
52,2021.01.06,LG디스플레이,034220,"21,000","19,550","24,500"
53,2021.01.05,현대일렉트릭,267260,"22,000","17,900","20,600"
