,0,1,2,3,4,5,6
0,2021.06.24,대웅제약,069620,"200,000",이달미,"174,000","172,000"
1,2021.06.09,코스메카코리아,241710,0,손효주,"19,000","17,900"
2,2021.06.09,태평양물산,007980,0,손효주,"2,635","2,815"
3,2021.06.09,백산,035150,0,손효주,"9,700","11,000"
4,2021.06.02,코스메카코리아,241710,0,"손효주,조은아","17,550","17,900"
5,2021.06.02,태평양물산,007980,0,"손효주,조은아","2,765","2,815"
6,2021.06.02,호전실업,111110,0,"손효주,조은아","15,100","14,550"
7,2021.06.02,백산,035150,0,"손효주,조은아","10,750","11,000"
8,2021.06.02,현대건설,000720,"67,000",박형렬,"57,400","58,300"
9,2021.06.01,후성,093370,"15,000",한병화,"10,100","10,850"
10,2021.05.31,영풍정밀,036560,"12,000",한병화,"9,290","11,500"
11,2021.05.31,BGF리테일,282330,"227,000",임수연,"181,500","179,500"
12,2021.05.28,영풍정밀,036560,"12,000",한병화,"9,220","11,500"
13,2021.05.27,OCI,010060,"160,000",노우호,"132,500","117,500"
14,2021.05.25,코스맥스엔비티,222040,"11,000",장지혜,"10,000","11,900"
15,2021.05.18,현대코퍼레이션,011760,"25,000",박종렬,"21,050","20,250"
16,2021.05.18,무림P&P,009580,"7,600",박종렬,"5,570","5,880"
17,2021.05.18,클리오,237880,"25,000","안지영,황병준","23,300","25,500"
18,2021.05.18,제로투세븐,159580,"17,000",박은정,"14,700","14,350"
19,2021.05.14,SK이노베이션,096770,"365,000",노우호,"269,000","295,500"
20,2021.05.13,신세계,004170,"400,000","안지영,황병준","307,000","285,500"
21,2021.05.12,코스맥스,192820,"170,000","안지영,황병준","126,500","131,000"
22,2021.05.11,BGF리테일,282330,"210,000","안지영,황병준","179,000","179,500"
23,2021.05.10,롯데케미칼,011170,"410,000",전우제,"308,000","262,500"
24,2021.05.10,롯데케미칼,011170,"460,000",이동욱,"308,000","262,500"
25,2021.05.10,BGF리테일,282330,"200,000","박종대, 서현정","177,000","179,500"
26,2021.05.07,대웅제약,069620,"200,000",이달미,"143,500","172,000"
27,2021.05.04,신세계,004170,"400,000",박상준,"315,500","285,500"
28,2021.04.30,현대중공업지주,267250,"87,000",전우제,"70,400","70,800"
29,2021.04.30,세아베스틸,001430,"34,000",박현욱,"26,150","31,700"
30,2021.04.30,유한양행,000100,"104,000",선민정,"64,300","63,100"
31,2021.04.30,세아베스틸,001430,"38,000",이종형,"26,150","31,700"
32,2021.04.29,녹십자,006280,"500,000",선민정,"345,000","328,500"
33,2021.04.29,아모레퍼시픽,090430,"320,000",오린아,"277,000","252,000"
34,2021.04.29,아모레퍼시픽,090430,"320,000","안지영,황병준","277,000","252,000"
35,2021.04.28,현대제철,004020,"67,000",방민진,"57,400","53,700"
36,2021.04.26,현대건설,000720,"60,000","이동헌,이태환","51,400","58,300"
37,2021.04.16,CJ프레시웨이,051500,"32,000",심지현,"24,400","34,100"
38,2021.04.16,아모레퍼시픽,090430,"330,000","손효주, 조은아","263,000","252,000"
39,2021.04.15,디오,039840,"49,000",조은애,"41,600","41,450"
40,2021.04.15,호텔신라,008770,"110,000",남성현,"83,700","97,000"
41,2021.04.14,GS리테일,007070,"53,000",박종렬,"37,650","38,650"
42,2021.04.13,피엔에이치테크,239890,0,김소원,"19,750","41,500"
43,2021.04.12,대웅제약,069620,"180,000",허혜민,"134,500","172,000"
44,2021.04.07,현대백화점,069960,"110,000",정소연,"89,800","87,400"
45,2021.04.06,클리오,237880,"25,000","손효주, 조은아","20,400","25,500"
46,2021.04.06,신세계인터내셔날,031430,"250,000","서현정, 박종대","211,000","204,000"
